,Depth,Archella flavum,Amphitrema stenostoma,Amphitrema wrightianum,Arcella catinus type,Arcella discoides type,Assulina muscorum,Assulina seminulum,Bullinaria indica,Centropyxis aculeata type,Cyclopyxis arcelloides type,Trigonopyxis arcula,Difflugia lucida type,Difflugia pristis type,Difflugia pulex,Difflugia rubescens,Cryptodifflugia oviformis,Euglypha rotunda type,Euglypha tuberculata type,Heleopera petricola,Heleopera rosea,Heleopera sphagni,Heleopera sylvetica,Hyalosphenia elegans,Hyalosphenia papilio,Hyalosphenia subflava,Nebela carinata,Nebela flabellulum,Nebela militaris,Nebela parvula,Nebela tincta,Alona rustica,Spermatophore of Copepoda,Rotifor,No. of testates per 1cm*1000,Mean Water Table Depth (mm),Zones
Y Tick Major Colour,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Y Tick Minor Colour,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Exaggeration multiplier,0,0,5,0,5,0,0,5,5,5,0,5,5,0,0,5,5,5,5,5,5,5,0,0,0,0,5,0,5,5,5,0,0,0,0,0,0
Exaggeration graph type - Graph 3 or 4 ,0,0,4,0,4,0,0,4,4,4,0,4,4,0,0,4,4,4,4,4,4,4,0,0,0,0,4,0,4,4,4,0,0,0,0,0,0
Exaggeration fill colour -  Ex style Graph 4,0,0,4,0,4,0,0,4,4,4,0,4,4,0,0,4,4,4,4,4,4,4,0,0,0,0,4,0,4,4,4,0,0,0,0,0,0
Exaggeration fill transparency - Ex style Graphs 4,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0
"Exaggeration line colour -  Ex style  Graphs 3,4",0,0,4,0,4,0,0,4,4,4,0,4,4,0,0,4,4,4,4,4,4,4,0,0,0,0,4,0,4,4,4,0,0,0,0,0,0
"Exaggeration line width - Ex style Graphs 3,4",0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0
"Exaggeration line style - Ex style Graphs 3,4",0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Stack plot 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
